"lb_name";"lb_code";"ward_code";"ward_name";"ward_area_hectare";"green_area_hectare";"blue_area_hectare";"green_blue_area_hectare";"percent_green";"percent_blue";"percent_green_blue"
"Southwark";"E09000028";"E05011102";"Faraday";110.141;51.9568;2.97138;54.9282;47.173;2.69779;49.8708
"Southwark";"E09000028";"E05011103";"Goose Green";115.552;31.2231;0.0;31.2231;27.0208;0.0;27.0208
"Southwark";"E09000028";"E05011104";"London Bridge & West Bermondsey";127.087;18.851;10.6745;29.5255;14.8332;8.39933;23.2325
"Southwark";"E09000028";"E05011105";"Newington";77.889;26.1172;0.0;26.1172;33.5313;0.0;33.5313
"Southwark";"E09000028";"E05011106";"North Bermondsey";112.599;24.1969;18.9918;43.1887;21.4895;16.8667;38.3562
"Southwark";"E09000028";"E05011107";"North Walworth";79.61;16.6933;0.00246381;16.6957;20.9688;0.00309485;20.9719
"Southwark";"E09000028";"E05011108";"Nunhead & Queens Road";131.721;48.1099;0.00063084;48.1105;36.5241;0.000478921;36.5246
"Southwark";"E09000028";"E05011109";"Old Kent Road";165.918;33.6106;0.0;33.6106;20.2574;0.0;20.2574
"Southwark";"E09000028";"E05011110";"Peckham";85.524;18.8827;0.0;18.8827;22.0788;0.0;22.0788
"Southwark";"E09000028";"E05011111";"Peckham Rye";189.237;123.977;0.562122;124.539;65.5141;0.297047;65.8112
"Southwark";"E09000028";"E05011112";"Rotherhithe";152.503;58.3667;15.4359;73.8026;38.2725;10.1217;48.3942
"Southwark";"E09000028";"E05011113";"Rye Lane";127.179;29.1682;0.0012435;29.1695;22.9348;0.000977756;22.9357
"Southwark";"E09000028";"E05011114";"St. Georges";57.296;14.3647;0.00121073;14.3659;25.071;0.00211311;25.0731
"Southwark";"E09000028";"E05011115";"St. Giles";112.079;33.4026;0.00671404;33.4093;29.8027;0.00599045;29.8087
"Southwark";"E09000028";"E05011116";"South Bermondsey";120.093;31.5614;0.0;31.5614;26.2808;0.0;26.2808
"Southwark";"E09000028";"E05011117";"Surrey Docks";171.029;41.8559;57.836;99.6919;24.473;33.8165;58.2895
"Bexley";"E09000004";"E05011217";"Barnehurst";213.007;89.6333;0.0150471;89.6484;42.08;0.00706411;42.0871
"Bexley";"E09000004";"E05011218";"Belvedere";575.698;215.455;86.1491;301.604;37.425;14.9643;52.3893
"Bexley";"E09000004";"E05011219";"Bexleyheath";362.546;122.578;0.0804511;122.658;33.8103;0.0221906;33.8325
"Bexley";"E09000004";"E05011220";"Blackfen & Lamorbey";290.792;99.9537;2.28196;102.236;34.3729;0.78474;35.1577
"Bexley";"E09000004";"E05011221";"Blendon & Penhill";337.376;134.982;1.9573;136.94;40.0095;0.580155;40.5896
"Bexley";"E09000004";"E05011222";"Crayford";511.336;222.017;5.98494;228.002;43.419;1.17045;44.5894
"Bexley";"E09000004";"E05011223";"Crook Log";267.716;72.0315;0.104735;72.1363;26.9059;0.0391216;26.9451
"Bexley";"E09000004";"E05011224";"East Wickham";281.719;107.833;0.115244;107.949;38.2769;0.0409075;38.3178
"Bexley";"E09000004";"E05011225";"Erith";322.572;91.3293;80.6415;171.971;28.3128;24.9995;53.3124
"Bexley";"E09000004";"E05011226";"Falconwood & Welling";326.055;119.882;7.92435;127.806;36.7674;2.43037;39.1977
"Bexley";"E09000004";"E05011227";"Longlands";188.689;79.1137;0.133233;79.247;41.9281;0.0706098;41.9987
"Bexley";"E09000004";"E05011228";"Northumberland Heath";171.374;45.6369;0.025092;45.662;26.63;0.0146417;26.6447
"Bexley";"E09000004";"E05011229";"St. Marys & St. James";874.656;660.45;9.18893;669.639;75.5097;1.05058;76.5602
"Bexley";"E09000004";"E05011230";"Sidcup";398.964;170.029;0.760743;170.789;42.6175;0.19068;42.8082
